the	os
march	março
august	augusto
august	august
august	agosto
july	julho
being	sendo
being	ser
film	película
film	filmes
film	películas
film	filme
him	ele
many	muitos
many	muitas
south	sul
south	south
september	setembro
like	like
like	curta
like	como
between	entre
october	outubro
three	tres
three	three
three	três
june	june
june	junho
well	bem
use	uso
use	usar
use	use
use	utilizar
use	utilização
war	guerra
war	war
war	guerras
under	sob
under	under
them	eles
april	april
april	abril
born	born
born	nascido
born	nascida
born	nasceu
december	dezembro
link	link
link	ligação
while	enquanto
later	depois
part	part
part	parte
november	novembro
players	jogadores
list	lista
list	listar
following	seguindo
following	seguintes
february	fevereiro
known	conhecida
known	conhecido
known	conhecidas
known	conhecidos
second	segunda
second	second
second	segundo
name	nome
group	grupo
group	agrupar
history	historia
history	história
series	series
series	série
series	séries
just	só
just	apenas
north	norte
north	north
work	trabalhos
work	trabalho
work	trabalhar
work	trabalhe
before	antes
since	since
since	desde
season	temporada
season	época
both	ambos
both	ambas
high	alto
high	high
high	altos
high	altas
high	alta
through	através
through	through
district	distrito
now	agora
comments	comentário
comments	comentar
comments	comenta
comments	comentários
comments	observações
because	porque
because	pq
football	football
football	futebol
music	music
music	música
music	musica
music	músicas
diff	diff
diff	diferenças
century	século
century	century
league	league
league	liga
edits	edições
debate	debate
title	titulo
title	título
articles	artigos
john	john
john	joão
john	joao
same	mesma
same	mesmo
same	mesmos
including	incluindo
including	inclusive
could	poderiam
could	podia
could	poderia
could	podiam
english	ingles
english	inglês
album	álbum
album	album
album	álbuns
number	número
number	numero
against	contra
family	família
family	familia
user	usuários
user	utilizador
user	usuário
based	baseado
based	baseados
area	area
area	área
york	york
york	iorque
life	vida
life	life
british	britânico
british	britânicos
british	british
international	internacional
international	international
international	internacionais
game	game
game	jogo
above	acima
club	club
club	clube
your	seu
your	sua
until	ate
until	até
early	early
early	cedo
best	melhor
best	melhores
best	best
west	west
west	ocidente
west	oeste
house	casa
company	empresa
company	company
company	companhia
general	generalidades
general	gerais
general	geral
general	general
left	esquerdo
left	left
left	esquerda
left	partiu
very	muito
here	aqui
don	don
living	vivos
living	living
living	vivendo
living	viver
day	dia
several	vários
several	varios
several	várias
place	lugar
place	place
place	local
place	sítio
party	partido
party	party
party	festa
college	faculdade
college	colégio
college	college
college	universidade
result	resultado
keep	mantenha
keep	continue
keep	continuem
keep	manter
appropriate	adequado
appropriate	apropriada
appropriate	adequados
appropriate	apropriados
appropriate	apropriado
four	four
four	quatro
subsequent	subsequentes
subsequent	subsequente
class	turma
class	classe
class	aula
government	governo
how	como
called	chamou
called	chamada
called	chamado
called	chamados
did	fiz
did	did
did	fê
did	fez
each	cada
found	encontrada
found	encontrados
found	achado
found	encontraram
found	encontrado
center	centralizar
center	centrar
center	centro
center	center
per	per
style	style
style	estilo
com	com
long	longa
long	longos
long	longo
long	comprido
long	long
country	pais
country	país
back	costas
back	volta
back	voltar
way	maneira
way	way
does	faz
www	www
modify	modificar
modify	modifica
end	end
end	final
end	terminar
end	fim
make	make
make	faça
public	público
public	públicas
public	pública
public	públicos
public	publico
played	jogado
played	jogou
played	tocou
played	joguei
played	jogaram
won	venceu
won	won
won	ganhou
won	ganhado
another	outro
another	outra
released	lançado
released	libertado
released	liberado
released	liberada
released	divulgado
released	solto
added	adicionado
added	adicionada
added	acrescentado
added	adicionados
added	adicionou
added	adicionadas
support	apoio
support	suporte
support	apoios
games	games
games	jogos
those	essas
those	aqueles
those	esses
those	aquelas
films	filmes
films	películas
church	igrejas
church	igreja
east	oriente
east	leste
east	east
line	line
line	linha
major	major
members	sócios
members	membros
good	boa
good	bom
much	muito
much	much
image	image
image	imagem
show	mostra
show	espetáculo
show	mostrar
show	show
still	ainda
think	pense
think	pensem
think	pensa
think	pensar
below	abaixo
town	vila
town	cidade
last	último
last	últimas
last	last
last	últimos
last	última
system	system
system	sistema
right	certo
right	direito
right	direita
song	canção
song	song
non	non
notable	notável
notable	notáveis
section	seção
section	secção
single	solteira
single	solteiro
single	single
included	incluído
included	incluídas
included	incluso
included	incluido
included	incluídos
align	alinhar
align	alinhamento
home	home
home	casa
home	lar
women	mulheres
television	televisão
seed	semente
seed	sementes
member	membro
goals	objectivos
goals	gols
goals	metas
goals	golos
goals	objetivos
sources	fontes
book	livro
book	reservar
book	livros
station	estação
order	ordem
order	encomendar
order	encomenda
old	antiga
old	velho
old	antigo
old	velha
old	velhos
information	informações
information	informação
set	conjunto
set	definir
set	set
set	definido
own	própria
own	own
own	próprio
text	texto
band	band
band	banda
point	ponto
point	point
local	locais
local	local
river	rio
top	topo
top	top
main	principais
main	main
main	principal
language	língua
language	idioma
language	linguagem
french	french
french	franceses
french	francês
https	https
named	nomeada
named	nomeado
off	off
note	note
note	nota
career	carreira
original	originais
original	original
age	idade
service	serviço
established	estabelecida
established	estabelecido
located	localizada
located	localizado
located	localizados
said	said
said	disse
website	website
website	site
population	população
air	ar
air	air
german	alemã
german	alemães
german	alemão
law	lei
law	direito
law	law
law	leis
military	militares
military	militar
great	ótima
great	grande
great	ótimo
clubs	clubs
clubs	discotecas
clubs	clubes
published	publicados
published	publicou
published	publicadas
published	publicada
published	publicado
president	presidente
park	parque
park	park
official	oficial
official	funcionário
official	official
official	oficiais
case	case
case	caso
london	londres
times	vezes
times	tempos
times	times
although	embora
small	small
small	pequenos
small	pequeno
small	pequena
small	pequenas
third	terceira
third	terço
third	terceiro
different	diferente
different	diferentes
due	devido
due	devida
due	devidas
get	apanha
get	obtenha
get	receba
get	obter
village	vila
village	aldeia
closed	fechou
closed	fechado
closed	fechada
closed	fechados
art	art
art	arte
player	player
player	reprodutor
player	jogador
final	finais
final	final
community	comunidade
held	realizada
held	realizado
held	segurou
again	novamente
began	começou
began	começaram
army	exército
army	tropa
army	army
award	prémio
award	prêmio
without	sem
death	death
death	morte
built	construída
built	construídos
built	construídas
built	construído
men	men
men	homens
large	large
large	grande
large	grandes
site	sítio
site	site
using	utilizar
using	usar
using	usando
using	utilizando
deletion	eliminação
deletion	exclusão
deletion	apagamento
deletion	supressão
white	brancos
white	branco
white	white
white	brancas
white	branca
five	cinco
five	five
central	centrais
central	central
road	rodoviário
road	estrada
road	road
children	crianças
children	filhos
free	livre
free	grátis
free	free
free	gratuito
took	levou
took	tirou
took	demorou
took	levaram
england	inglaterra
england	england
include	inclua
include	inclui
include	incluem
include	incluir
association	associação
association	association
down	down
given	dada
given	dado
given	dadas
source	fonte
source	origem
california	califórnia
california	california
man	man
man	pá
man	cara
man	homem
version	versão
written	escrito
written	escritas
written	escritos
written	escrita
created	criadas
created	criada
created	criado
created	criados
created	criou
media	mídia
media	media
black	preta
black	black
black	preto
black	negro
black	pretas
though	embora
php	php
report	relatório
report	denunciar
report	relatar
building	construção
building	construindo
building	edifício
building	prédio
take	pega
take	levar
take	take
take	pegue
take	toma
take	leve
division	divisão
comment	comentem
comment	comente
comment	comentar
comment	comenta
comment	comentário
having	ter
having	tendo
king	king
king	rei
edit	edit
edit	edita
edit	editar
edit	edite
stadium	estádio
stadium	stadium
died	morreu
died	morri
died	morreram
died	faleceu
ship	nave
ship	embarcação
ship	navio
research	investigação
research	pesquisa
research	pesquisas
record	registro
record	recorde
record	gravar
record	record
archive	arquivo
archive	arquivar
places	locais
places	lugares
places	sítios
undo	anular
undo	desfazer
cup	xícara
cup	copa
cup	taça
cup	chávena
cup	copo
records	registos
records	records
records	registros
records	discos
often	freqüentemente
often	frequentemente
few	poucas
few	poucos
received	recebida
received	recebido
received	receberam
received	recebidos
received	recebeu
received	recebidas
side	lateral
side	lado
side	side
power	potência
power	energia
power	poder
power	power
education	educação
education	ensino
know	conheça
know	saiba
know	sei
know	sabe
category	categoria
water	águas
water	agua
water	água
political	politico
political	político
species	espécies
species	espécie
field	field
field	campo
near	perto
near	próximo
australia	austrália
australia	montar
video	vídeo
video	video
need	need
need	preciso
need	precisa
need	necessidade
island	ilha
island	ilhas
form	formar
form	forma
form	formulário
find	encontrar
find	encontre
find	encontra
served	servi
served	servidos
served	servia
served	serviu
served	servido
play	jogar
play	joga
play	play
play	jogue
play	reproduzir
project	project
project	projeto
project	projecto
radio	radio
radio	rádio
works	funciona
works	obras
works	trabalhos
works	works
works	trabalha
proposed	propôs
proposed	propostos
proposed	propunha
proposed	proposta
proposed	proposto
every	cada
development	desenvolvimento
development	evolução
example	exemplo
live	viva
live	live
live	viver
union	union
union	união
india	índia
india	india
next	seguinte
next	próximo
next	próxima
next	next
special	especial
special	special
special	especiais
court	tribunal
court	corte
region	região
little	pequeno
little	pouco
little	pequena
little	little
short	curto
short	short
short	curtas
short	curta
william	william
william	willian
william	guilherme
province	província
western	ocidental
western	ocidentais
western	western
western	oeste
son	son
son	filho
france	franca
france	frança
council	concílio
council	conselho
others	outros
others	outras
royal	real
royal	royal
current	correntes
current	atual
current	atuais
current	actual
current	corrente
street	rua
street	street
full	cheia
full	plena
full	pleno
full	full
full	cheio
red	vermelhas
red	vermelha
red	vermelho
red	vermelhos
red	red
too	também
too	demais
department	departamento
san	san
help	socorro
help	ajude
help	ajudar
help	ajuda
preserved	conservado
preserved	conservas
preserved	preservada
preserved	preservado
preserved	preservados
james	james
james	jaime
james	tiago
open	abre
open	aberto
open	abra
open	abrir
open	aberta
open	open
force	force
force	força
force	forçar
position	posição
head	head
head	cabeça
head	cabeças
director	director
director	directora
director	diretora
director	diretor
director	realizador
father	pai
father	padre
track	track
track	trilha
track	faixa
http	http
canada	canadá
canada	canada
never	nunca
never	never
australian	australiana
australian	australianos
australian	austrália
australian	australiano
australian	australian
george	jorge
george	george
jpg	jpg
level	nivel
level	nível
level	level
late	tarde
late	atrasada
late	tardia
late	atrasados
late	atrasado
summer	verão
summer	summer
society	society
society	sociedade
moved	movida
moved	movido
moved	comovida
moved	comovido
office	estância
office	gabinete
office	escritório
period	periodo
period	período
championship	campeonato
championship	championship
round	redonda
round	redondo
round	ronda
round	round
round	rodada
story	story
story	história
songs	músicas
songs	canções
songs	songs
various	vários
various	diversos
various	várias
file	arquivo
file	ficheiro
days	dias
land	land
land	terrenos
land	terras
land	terra
business	negócios
business	negócio
reason	razão
reason	motivo
america	america
america	américa
million	milhões
million	milhão
european	europeu
european	europeia
european	europeias
term	termo
six	seis
six	six
post	postar
post	publicar
post	publicação
post	pós
post	post
why	porque
why	porquê
produced	produzidos
produced	produziu
produced	produzida
produced	produzidas
produced	produzido
making	making
making	fazendo
subject	sujeito
subject	assunto
subject	objecto
young	young
young	jovem
young	jovens
total	total
david	davi
david	david
science	ciências
science	ciência
related	relacionados
related	relacionada
related	relacionadas
related	relacionado
rock	rochedo
rock	rocha
rock	pedra
rock	rock
archived	arquivado
archived	arquivadas
archived	arquivados
railway	ferrovia
railway	ferroviária
led	liderado
led	led
led	liderou
students	alunos
students	estudantes
started	iniciado
started	comecei
started	começou
started	começaram
started	iniciou
news	novidades
news	noticias
news	notícia
news	notícias
described	descritos
described	descreveu
described	descritas
described	descrita
described	descrito
role	papel
election	eleição
election	eleições
albums	álbuns
present	presentes
present	presente
indian	indianos
indian	índios
indian	indian
indian	índio
indian	indiano
indian	índia
kingdom	reino
kingdom	kingdom
books	livros
important	importante
important	importantes
northern	norte
northern	setentrional
northern	northern
love	amor
love	love
love	amo
run	executar
run	corra
run	run
run	correr
run	corre
canadian	canadiano
canadian	canadense
canadian	canadenses
canadian	canadian
press	imprensa
press	pressione
type	type
type	digite
type	tipo
act	agir
act	ato
act	acto
act	act
editor	editor
editor	editora
came	vieram
came	chegou
came	veio
schools	escolas
program	programar
program	programa
once	outrora
once	once
issue	questão
social	sociais
social	social
germany	alemanha
production	produção
male	macho
male	masculino
awards	prémios
awards	premiação
awards	awards
awards	prêmios
points	pontos
similar	semelhante
similar	similar
similar	semelhantes
similar	similares
professional	professional
professional	profissionais
professional	profissional
say	dizer
say	say
say	digam
say	diga
say	diz
background	antecedentes
background	fundo
enough	suficiente
enough	chega
lead	chumbo
lead	lead
lead	liderar
common	comum
common	frequentes
common	common
common	frequente
overlap	sobreposição
overlap	sobreposições
data	data
data	dados
color	cores
color	cor
better	melhor
better	melhores
person	pessoa
services	serviços
bgcolor	bgcolor
museum	museus
museum	museu
battle	battle
battle	batalha
sports	desporto
sports	esportes
sports	desportos
already	já
already	ja
currently	actualmente
currently	atualmente
hall	hall
hall	salão
buildings	edifícios
buildings	imóveis
buildings	prédios
historic	histórico
historic	históricas
historic	histórica
historic	históricos
date	data
deleted	excluído
deleted	excluída
deleted	suprimido
deleted	eliminados
deleted	eliminado
deleted	excluídos
considered	considerada
considered	considerados
considered	considerou
considered	considerado
change	mudar
change	mudança
change	mudanças
change	troco
location	localização
seems	parece
must	mosto
must	deve
must	must
yes	sim
our	nossa
our	nossas
our	nossos
our	nosso
southern	sulistas
southern	sulista
southern	sul
southern	southern
southern	meridional
lost	perdido
lost	perdi
lost	lost
lost	perdida
lost	perdidos
lost	perdeu
something	algo
review	resenha
review	revisão
review	reexame
review	rever
together	juntos
together	juntas
robert	robert
robert	roberto
fact	fato
fact	facto
less	menos
japanese	japonesa
japanese	japonês
japanese	japão
japanese	japoneses
groups	grupos
content	conteúdos
content	teor
content	conteúdo
involved	implicado
involved	envolvida
involved	envolvido
involved	envolvidos
isbn	isbn
board	tabuleiro
board	tábua
board	prancha
board	diretoria
japan	japao
japan	japão
control	controle
control	control
control	controlo
policy	política
modern	moderna
modern	modernas
modern	modern
modern	moderno
human	humano
human	humanas
human	humana
human	human
half	metade
half	meia
half	meio
half	half
design	concepção
design	desenho
design	design
event	acontecimento
event	evento
events	eventos
events	acontecimentos
available	disponível
available	disponíveis
available	disponivel
done	feito
washington	washington
real	real
real	verdadeiro
real	reais
real	verdadeiros
real	verdadeira
start	comece
start	comecem
start	iniciar
start	começa
start	início
start	começar
personal	personal
personal	pessoal
personal	pessoais
action	acção
action	action
action	ação
space	espaço
space	space
areas	áreas
star	estrela
star	star
star	estrelas
really	realmente
china	porcelana
china	china
possible	possivel
possible	possíveis
possible	possível
paul	paulo
paul	paul
working	trabalhando
working	trabalhar
working	funcionando
taken	tirada
taken	tomado
taken	levado
taken	tomadas
taken	tiradas
far	far
far	longe
going	indo
minister	ministro
minister	ministra
lake	lago
reported	denunciado
reported	denunciou
reported	relatado
reported	comunicados
reported	denunciada
popular	popular
popular	populares
married	casou
married	casada
married	casado
married	casados
founded	fundado
founded	fundou
founded	fundada
europe	europa
author	autor
author	autora
away	away
independent	independent
independent	independentes
independent	independente
process	processo
teams	equipas
teams	equipes
teams	times
character	carácter
character	caractere
character	personagem
character	caracter
character	caráter
low	baixa
low	baixos
low	low
low	baixo
michael	miguel
michael	michael
pages	páginas
light	light
light	luz
light	leve
big	big
big	grande
big	grandes
seen	visto
seen	viu
release	libertação
release	release
release	solte
release	lançamento
release	liberação
want	quer
want	queres
want	quero
episode	episódios
episode	episódio
wrote	escreveu
wrote	escrevia
wrote	escrevi
republic	república
thomas	tomé
thomas	thomas
thomas	tomás
companies	companhias
companies	empresas
via	via
russian	russa
russian	russas
russian	russo
russian	russos
thanks	obg
thanks	obrigado
thanks	obrigada
thanks	valeu
put	colocar
put	coloca
put	pôr
put	posta
put	coloque
race	raça
race	corrida
race	race
worked	trabalhou
worked	trabalhava
worked	funcionou
worked	trabalhadas
worked	trabalhados
worked	trabalhado
route	rota
route	percurso
recorded	gravou
recorded	gravado
recorded	registrado
recorded	gravados
someone	alguém
someone	alguem
civil	civil
civil	civis
police	polícia
police	policia
charles	charles
charles	carlos
listed	listada
listed	listado
listed	enumerados
listed	listados
users	utilizadores
users	usuários
template	modelo
eastern	orientais
eastern	oriental
eastern	leste
eastern	eastern
body	body
body	corpo
question	questão
question	pergunta
italian	italiana
italian	italianos
italian	italiano
featured	destaque
featured	destaques
featured	indicados
featured	caracterizado
week	semana
editors	editores
texas	texas
chief	chief
chief	chefe
chief	alcaide
close	fecha
close	feche
close	perto
close	close
close	fechar
match	match
roman	romana
roman	romanas
roman	roman
roman	romano
roman	romanos
come	vem
come	venham
come	venha
opened	aberta
opened	aberto
opened	abriu
tour	tour
sea	mar
cross	cruz
cross	cross
playing	jogar
playing	tocando
playing	jogando
playing	brincando
health	saude
health	saúde
institute	instituto
caps	tampas
caps	bonés
forces	forcas
forces	forces
forces	forças
green	verde
green	green
green	verdes
rights	direitos
evidence	evidências
evidence	evidência
evidence	prova
evidence	provas
originally	originalmente
originally	inicialmente
aircraft	avião
aircraft	aeronave
aircraft	aviões
aircraft	aeronaves
arts	arts
arts	artes
range	cordilheira
range	alcance
range	intervalo
range	gama
probably	provavelmente
consensus	consenso
consensus	consensos
bar	barra
bar	bar
problem	problemas
problem	problema
look	olhe
look	olha
issues	problemas
issues	questões
average	médio
average	média
network	network
network	rede
win	win
win	ganhe
win	ganhar
win	vencer
win	vitória
shows	mostra
shows	espetáculos
shows	espectáculos
shows	shows
wife	mulher
wife	esposa
returned	retornado
returned	retornou
returned	regressou
returned	voltou
returned	devolvido
night	noite
night	night
magazine	magazine
magazine	revista
centre	centrar
centre	centralizar
centre	centro
centre	centre
joined	aderiram
joined	entrou
joined	aderiu
joined	juntou
usually	geralmente
usually	normalmente
usually	habitualmente
usually	usualmente
middle	meados
middle	médio
middle	meio
middle	middle
completed	completou
completed	concluída
completed	concluído
completed	concluídas
completed	concluídos
elected	eleito
elected	eleita
elected	eleitos
significant	significativos
significant	significativo
significant	significativa
significant	significante
significant	significativas
african	africana
african	africanos
african	africano
able	capaz
able	able
google	google
stage	palco
stage	etapa
addition	adição
ireland	irlanda
today	hj
today	hoje
academy	academy
academy	academia
saint	santo
saint	saint
saint	santa
self	auto
self	self
continued	continuaram
continued	continuação
continued	continuado
continued	continuou
stations	estações
mother	mãe
mother	mamãe
appeared	compareceu
appeared	apareceu
appeared	apareceram
africa	áfrica
culture	cultura
spanish	castelhano
spanish	espanhola
spanish	espanhóis
spanish	espanhol
grand	grandioso
grand	grand
committee	comitê
committee	comite
committee	comissão
committee	comité
things	coisas
fire	fire
fire	fogueira
fire	fogo
fire	incêndio
changed	mudado
changed	alterado
changed	mudou
changed	alterada
changed	mudei
gold	ouro
gold	gold
gold	dourado
female	mulher
female	fêmea
female	feminino
course	curso
directed	dirigiu
directed	direcionado
directed	dirigido
months	meses
chinese	chineses
chinese	chinesa
chinese	chinês
previous	anterior
previous	anteriores
developed	desenvolvido
developed	desenvolvidas
developed	desenvolvidos
developed	desenvolvida
developed	desenvolveu
size	size
size	tamanho
size	dimensão
mentioned	mencionado
mentioned	mencionados
mentioned	mencionou
mentioned	mencionada
add	adicione
add	adiciona
add	add
add	adicionar
festival	festival
peter	pedro
peter	peter
basketball	basquete
basketball	basquetebol
move	mover
performance	performance
performance	atuação
performance	desempenho
standard	estandarte
standard	norma
standard	padrão
standard	standard
means	meios
means	significa
give	dê
give	dar
give	dá
training	formação
training	treinamento
training	treinos
training	treino
artist	artista
word	word
word	palavra
blue	blue
blue	azul
blue	azuis
primary	primária
primary	primário
primary	primárias
primary	primários
announced	anunciou
announced	anunciado
announced	anunciada
announced	anunciados
value	value
value	valor
christian	christian
christian	cristã
christian	cristiano
christian	cristão
christian	cristãos
private	privada
private	privado
private	private
catholic	católico
catholic	católicas
catholic	católicos
catholic	catolicismo
catholic	católica
artists	artistas
includes	inclui
view	vista
view	ver
view	visualizar
thus	assim
almost	quase
baseball	beisebol
baseball	baseball
baseball	basebol
seven	sete
seven	seven
appears	aparece
ever	ever
ever	nunca
provide	fornecer
provide	forneça
provide	providenciar
provide	proporcionar
technology	tecnologia
technology	tecnologias
olympics	olimpíadas
olympics	olimpíada
future	futuro
future	future
future	futuras
future	futuros
future	futura
formed	formado
formed	formada
formed	formados
census	recenseamento
census	censo
images	imagens
los	los
results	resultados
results	resultado
return	devolução
return	retornar
return	retorno
return	regresso
quality	qualidade
construction	construção
construction	construções
zealand	zelândia
front	front
front	fachada
front	frente
cover	cobertura
cover	cover
cover	cubra
cover	cobrir
cover	capa
model	model
model	modelo
despite	apesar
read	lidos
read	ler
read	leia
read	lê
material	materiais
material	material
strong	forte
strong	strong
strong	fortes
coach	coach
coach	treinador
henry	henrique
footballers	futebolistas
mark	mark
mark	marcar
mark	marca
mark	marcos
rev	rev
rev	reverendo
organization	organização
studies	estudos
federal	federal
federal	federais
richard	richard
richard	ricardo
html	html
virginia	virgínia
virginia	virginia
car	carro
car	automóvel
attack	atacar
attack	attack
attack	ataquem
attack	ataque
conference	conferencia
conference	conferência
outside	fora
study	estudo
study	estuda
study	estude
study	estudar
brother	irmão
brother	irmao
brother	brother
names	nomes
writer	escritora
writer	escritor
characters	caracteres
characters	carateres
characters	personagens
musical	musical
musical	musicais
nothing	nada
border	borda
border	fronteira
border	contorno
medical	médica
medical	medico
medical	medicina
medical	médicos
countries	países
past	passadas
past	passados
past	passado
writing	escrevendo
writing	escrita
writing	escrever
makes	faz
interest	juros
interest	interesse
provided	fornecidas
provided	fornecidos
provided	fornecida
provided	fornecido
provided	forneceu
killed	morto
killed	matou
medal	medalha
signed	assinado
signed	assinados
signed	assinou
signed	assinada
largest	maiores
largest	maior
label	rótulo
label	etiqueta
label	label
label	gravadora
fair	justo
fair	fair
fair	feira
search	procurar
search	pesquisar
search	pesquisa
search	busca
bay	baia
bay	baía
bay	bay
reference	referência
reference	referencia
especially	especialmente
refer	remeter
removed	removida
removed	removidos
removed	removidas
removed	eliminado
removed	removido
library	biblioteca
eventually	eventualmente
management	gerência
management	gestão
management	gerenciamento
references	referências
features	características
features	funcionalidades
navy	navy
navy	marinha
guitar	guitarra
guitar	violão
hill	colina
hill	hill
sure	claro
historical	históricas
historical	histórico
historical	histórica
historical	históricos
lower	lower
lower	inferior
daughter	filha
appointed	nomeados
appointed	nomeado
reading	ler
reading	lendo
reading	leitura
systems	sistemas
debut	estréia
debut	estreia
movement	movimentação
movement	movimentos
movement	movimento
specific	específicas
specific	específicos
specific	específica
specific	especifico
specific	específico
always	always
always	sempre
actor	ator
actor	actor
natural	naturais
natural	natural
clear	limpo
clear	clear
clear	limpar
coast	litoral
coast	costa
let	deixe
let	deixa
got	got
chicago	chicago
championships	campeonatos
pennsylvania	pennsylvania
pennsylvania	pensilvânia
ten	dez
ten	ten
performed	realizada
performed	realizado
individual	indivíduo
individual	individual
individual	individuais
designed	concebidos
designed	projetado
designed	desenhado
designed	concebido
designed	projetada
rule	regra
etc	etc
lists	lista
lists	listas
paris	paris
thought	pensei
thought	pensamento
thought	pensado
thought	pensou
brown	marrom
brown	brown
brown	castanhos
brown	castanhas
brown	castanha
brown	castanho
hand	mão
hand	hand
needs	precisa
needs	necessidades
needs	necessita
reliable	fiáveis
reliable	confiável
reliable	confiáveis
reliable	fiável
smith	silva
smith	smith
generally	geralmente
base	base
florida	flórida
florida	florida
capital	capitais
capital	capital
valley	valley
valley	vale
bank	banco
bank	bank
gave	dei
gave	deu
ground	ground
ground	terreno
reached	atingido
reached	alcançada
reached	alcançado
reached	alcançou
reached	alcançadas
italy	itália
energy	energia
energy	energias
believe	acredita
believe	acreditar
believe	believe
believe	creia
believe	acredite
leader	lider
leader	leader
leader	líder
active	ativo
active	activo
active	ativa
active	activa
active	ativos
online	online
block	bloqueio
block	bloco
block	bloquear
block	block
bridge	bridge
bridge	ponte
families	familias
families	famílias
changes	mudanças
changes	alterações
changes	modificações
followed	seguido
followed	seguida
followed	seguiu
followed	seguidos
followed	seguiram
industry	industria
industry	indústria
collection	recolha
collection	colecção
collection	coleção
request	pedir
request	solicitação
request	pedido
request	solicitar
soon	logo
soon	brevemente
leading	conduzindo
leading	liderando
leading	liderar
olympic	olympic
olympic	olímpico
olympic	olímpica
olympic	olímpicos
sold	vendida
sold	vendido
sold	vendidos
sold	vendidas
sold	vendeu
writers	roteiristas
writers	escritores
professor	professor
professor	professora
studio	estudio
studio	ateliê
studio	studio
studio	estúdio
studio	estúdios
mexico	méxico
mexico	mexico
competition	concurso
competition	competição
competition	concorrência
campaign	campanha
org	org
theatre	teatro
empire	empire
empire	império
length	comprimento
islands	ilhas
singer	cantora
singer	singer
singer	cantor
create	crie
create	criar
create	cria
redirect	redireccionar
redirect	redirecionamento
redirect	redirecionar
additional	adicional
additional	adicionais
soviet	soviético
soviet	soviéticos
soviet	soviéticas
soviet	soviética
market	mercado
words	palavras
producer	produtora
producer	produtor
notes	notes
notes	anotações
notes	notas
hockey	hóquei
hockey	hockey
novel	romance
novel	novela
code	codigo
code	código
referee	árbitro
fourth	quarta
sport	desporto
sport	esporte
van	carrinha
van	van
mary	mary
mary	maria
airport	aeroporto
sound	sound
sound	som
status	status
status	estatuto
status	estado
irish	irlandeses
irish	irish
irish	irlandesa
irish	irlandês
placed	colocados
placed	colocada
placed	colocadas
placed	colocado
child	criança
perhaps	talvez
idea	idéia
idea	idea
idea	ideia
foreign	estrangeiro
foreign	estrangeira
foreign	estrangeiras
foreign	estrangeiros
municipality	município
municipality	concelho
register	regista
register	registro
register	registrar
register	registo
register	registar
eight	oito
eight	eight
problems	problemas
native	nativas
native	nativa
native	nativo
native	nativos
coverage	cobertura
channel	canal
channel	channel
parliament	parlamento
edition	edição
minor	menores
minor	menor
minor	minor
says	diz
whose	cujo
foundation	foundation
foundation	fundações
foundation	fundação
foundation	alicerce
units	unidades
movie	filme
runs	runs
ice	ice
ice	gelo
simply	simplesmente
limited	limitado
limited	limitados
limited	limitadas
limited	limited
limited	limitada
unit	unidade
student	aluno
student	aluna
student	estudante
student	student
previously	anteriormente
stated	afirmou
governor	governadora
governor	governador
complete	completa
complete	completos
complete	complete
complete	completo
test	testar
test	teste
test	ensaio
nominated	nomeados
nominated	indicado
